_id,date,agegrp,covid_deaths
672,2020-09-06T00:00:00,80+,8
673,2020-09-07T00:00:00,60-69,3
674,2020-09-07T00:00:00,70-79,4
675,2020-09-07T00:00:00,80+,4
676,2020-09-08T00:00:00,50-59,1
677,2020-09-08T00:00:00,60-69,2
678,2020-09-08T00:00:00,70-79,5
679,2020-09-08T00:00:00,80+,8
680,2020-09-09T00:00:00,60-69,2
681,2020-09-09T00:00:00,70-79,6
682,2020-09-09T00:00:00,80+,5
683,2020-09-10T00:00:00,50-59,2
684,2020-09-10T00:00:00,70-79,5
685,2020-09-10T00:00:00,80+,5
686,2020-09-11T00:00:00,50-59,1
687,2020-09-11T00:00:00,60-69,4
688,2020-09-11T00:00:00,70-79,3
689,2020-09-11T00:00:00,80+,4
690,2020-09-12T00:00:00,70-79,2
691,2020-09-12T00:00:00,80+,2
692,2020-09-13T00:00:00,50-59,1
693,2020-09-13T00:00:00,60-69,3
694,2020-09-13T00:00:00,70-79,1
695,2020-09-13T00:00:00,80+,12
696,2020-09-14T00:00:00,40-49,1
697,2020-09-14T00:00:00,50-59,2
698,2020-09-14T00:00:00,60-69,1
699,2020-09-14T00:00:00,70-79,4
700,2020-09-14T00:00:00,80+,6
701,2020-09-15T00:00:00,60-69,3
702,2020-09-15T00:00:00,70-79,2
703,2020-09-15T00:00:00,80+,7
704,2020-09-16T00:00:00,50-59,1
705,2020-09-16T00:00:00,60-69,2
706,2020-09-16T00:00:00,70-79,1
707,2020-09-16T00:00:00,80+,4
708,2020-09-17T00:00:00,40-49,1
709,2020-09-17T00:00:00,50-59,2
710,2020-09-17T00:00:00,60-69,1
711,2020-09-17T00:00:00,70-79,7
712,2020-09-17T00:00:00,80+,4
713,2020-09-18T00:00:00,40-49,1
714,2020-09-18T00:00:00,50-59,1
715,2020-09-18T00:00:00,70-79,2
716,2020-09-18T00:00:00,80+,8
717,2020-09-19T00:00:00,20-29,1
718,2020-09-19T00:00:00,60-69,1
719,2020-09-19T00:00:00,70-79,4
720,2020-09-19T00:00:00,80+,4
721,2020-09-20T00:00:00,50-59,2
722,2020-09-20T00:00:00,70-79,2
723,2020-09-20T00:00:00,80+,3
724,2020-09-21T00:00:00,40-49,1
725,2020-09-21T00:00:00,50-59,2
726,2020-09-21T00:00:00,60-69,1
727,2020-09-21T00:00:00,70-79,2
728,2020-09-21T00:00:00,80+,5
729,2020-09-22T00:00:00,30-39,1
730,2020-09-22T00:00:00,60-69,2
731,2020-09-22T00:00:00,70-79,4
732,2020-09-22T00:00:00,80+,8
733,2020-09-23T00:00:00,30-39,1
734,2020-09-23T00:00:00,70-79,3
735,2020-09-23T00:00:00,80+,13
736,2020-09-24T00:00:00,40-49,1
737,2020-09-24T00:00:00,60-69,2
738,2020-09-24T00:00:00,70-79,1
739,2020-09-24T00:00:00,80+,9
740,2020-09-25T00:00:00,60-69,2
741,2020-09-25T00:00:00,70-79,3
742,2020-09-25T00:00:00,80+,8
743,2020-09-26T00:00:00,60-69,3
744,2020-09-26T00:00:00,70-79,5
745,2020-09-26T00:00:00,80+,16
746,2020-09-27T00:00:00,70-79,6
747,2020-09-27T00:00:00,80+,6
748,2020-09-28T00:00:00,40-49,1
749,2020-09-28T00:00:00,50-59,1
750,2020-09-28T00:00:00,60-69,4
751,2020-09-28T00:00:00,70-79,3
752,2020-09-28T00:00:00,80+,11
753,2020-09-29T00:00:00,60-69,4
754,2020-09-29T00:00:00,70-79,4
755,2020-09-29T00:00:00,80+,11
756,2020-09-30T00:00:00,60-69,3
757,2020-09-30T00:00:00,70-79,4
758,2020-09-30T00:00:00,80+,6
759,2020-10-01T00:00:00,60-69,4
760,2020-10-01T00:00:00,70-79,4
761,2020-10-01T00:00:00,80+,11
762,2020-10-02T00:00:00,50-59,1
763,2020-10-02T00:00:00,60-69,3
764,2020-10-02T00:00:00,70-79,6
765,2020-10-02T00:00:00,80+,8
766,2020-10-03T00:00:00,50-59,3
767,2020-10-03T00:00:00,60-69,4
768,2020-10-03T00:00:00,70-79,4
769,2020-10-03T00:00:00,80+,13
770,2020-10-04T00:00:00,50-59,1
771,2020-10-04T00:00:00,60-69,3
772,2020-10-04T00:00:00,70-79,4
773,2020-10-04T00:00:00,80+,8
774,2020-10-05T00:00:00,60-69,3
775,2020-10-05T00:00:00,70-79,6
776,2020-10-05T00:00:00,80+,5
777,2020-10-06T00:00:00,30-39,1
778,2020-10-06T00:00:00,50-59,1
779,2020-10-06T00:00:00,60-69,1
780,2020-10-06T00:00:00,70-79,3
781,2020-10-06T00:00:00,80+,9
782,2020-10-07T00:00:00,50-59,2
783,2020-10-07T00:00:00,70-79,6
784,2020-10-07T00:00:00,80+,11
785,2020-10-08T00:00:00,60-69,3
786,2020-10-08T00:00:00,70-79,7
787,2020-10-08T00:00:00,80+,13
788,2020-10-09T00:00:00,60-69,3
789,2020-10-09T00:00:00,70-79,6
790,2020-10-09T00:00:00,80+,16
791,2020-10-10T00:00:00,30-39,1
792,2020-10-10T00:00:00,40-49,1
793,2020-10-10T00:00:00,70-79,4
794,2020-10-10T00:00:00,80+,11
795,2020-10-11T00:00:00,60-69,2
796,2020-10-11T00:00:00,70-79,8
797,2020-10-11T00:00:00,80+,11
798,2020-10-12T00:00:00,50-59,1
799,2020-10-12T00:00:00,60-69,2
800,2020-10-12T00:00:00,70-79,7
801,2020-10-12T00:00:00,80+,13
802,2020-10-13T00:00:00,30-39,1
803,2020-10-13T00:00:00,50-59,1
804,2020-10-13T00:00:00,60-69,4
805,2020-10-13T00:00:00,70-79,7
806,2020-10-13T00:00:00,80+,16
807,2020-10-14T00:00:00,50-59,1
808,2020-10-14T00:00:00,60-69,2
809,2020-10-14T00:00:00,70-79,5
810,2020-10-14T00:00:00,80+,12
811,2020-10-15T00:00:00,40-49,1
812,2020-10-15T00:00:00,50-59,1
813,2020-10-15T00:00:00,60-69,5
814,2020-10-15T00:00:00,70-79,11
815,2020-10-15T00:00:00,80+,17
816,2020-10-16T00:00:00,40-49,1
817,2020-10-16T00:00:00,50-59,1
818,2020-10-16T00:00:00,60-69,6
819,2020-10-16T00:00:00,70-79,10
820,2020-10-16T00:00:00,80+,24
821,2020-10-17T00:00:00,40-49,2
822,2020-10-17T00:00:00,50-59,1
823,2020-10-17T00:00:00,60-69,3
824,2020-10-17T00:00:00,70-79,7
825,2020-10-17T00:00:00,80+,11
826,2020-10-18T00:00:00,60-69,5
827,2020-10-18T00:00:00,70-79,8
828,2020-10-18T00:00:00,80+,17
829,2020-10-19T00:00:00,50-59,2
830,2020-10-19T00:00:00,60-69,1
831,2020-10-19T00:00:00,70-79,9
832,2020-10-19T00:00:00,80+,8
833,2020-10-20T00:00:00,40-49,1
834,2020-10-20T00:00:00,50-59,1
835,2020-10-20T00:00:00,60-69,9
836,2020-10-20T00:00:00,70-79,9
837,2020-10-20T00:00:00,80+,16
838,2020-10-21T00:00:00,20-29,1
839,2020-10-21T00:00:00,40-49,3
840,2020-10-21T00:00:00,50-59,2
841,2020-10-21T00:00:00,60-69,6
842,2020-10-21T00:00:00,70-79,6
843,2020-10-21T00:00:00,80+,15
844,2020-10-22T00:00:00,50-59,1
845,2020-10-22T00:00:00,60-69,6
846,2020-10-22T00:00:00,70-79,10
847,2020-10-22T00:00:00,80+,19
848,2020-10-23T00:00:00,30-39,1
849,2020-10-23T00:00:00,50-59,1
850,2020-10-23T00:00:00,60-69,1
851,2020-10-23T00:00:00,70-79,8
852,2020-10-23T00:00:00,80+,17
853,2020-10-24T00:00:00,20-29,1
854,2020-10-24T00:00:00,50-59,2
855,2020-10-24T00:00:00,60-69,1
856,2020-10-24T00:00:00,70-79,8
857,2020-10-24T00:00:00,80+,13
858,2020-10-25T00:00:00,40-49,2
859,2020-10-25T00:00:00,50-59,1
860,2020-10-25T00:00:00,60-69,4
861,2020-10-25T00:00:00,70-79,6
862,2020-10-25T00:00:00,80+,17
863,2020-10-26T00:00:00,30-39,1
864,2020-10-26T00:00:00,40-49,1
865,2020-10-26T00:00:00,50-59,1
866,2020-10-26T00:00:00,60-69,5
867,2020-10-26T00:00:00,70-79,5
868,2020-10-26T00:00:00,80+,28
869,2020-10-27T00:00:00,30-39,1
870,2020-10-27T00:00:00,40-49,1
871,2020-10-27T00:00:00,50-59,4
872,2020-10-27T00:00:00,60-69,5
873,2020-10-27T00:00:00,70-79,7
874,2020-10-27T00:00:00,80+,23
875,2020-10-28T00:00:00,20-29,1
876,2020-10-28T00:00:00,40-49,1
877,2020-10-28T00:00:00,50-59,1
878,2020-10-28T00:00:00,60-69,3
879,2020-10-28T00:00:00,70-79,9
880,2020-10-28T00:00:00,80+,20
881,2020-10-29T00:00:00,30-39,1
882,2020-10-29T00:00:00,60-69,8
883,2020-10-29T00:00:00,70-79,8
884,2020-10-29T00:00:00,80+,22
885,2020-10-30T00:00:00,20-29,1
886,2020-10-30T00:00:00,40-49,2
887,2020-10-30T00:00:00,50-59,4
888,2020-10-30T00:00:00,60-69,9
889,2020-10-30T00:00:00,70-79,11
890,2020-10-30T00:00:00,80+,23
891,2020-10-31T00:00:00,50-59,3
892,2020-10-31T00:00:00,60-69,5
893,2020-10-31T00:00:00,70-79,5
894,2020-10-31T00:00:00,80+,22
895,2020-11-01T00:00:00,30-39,1
896,2020-11-01T00:00:00,50-59,1
897,2020-11-01T00:00:00,60-69,4
898,2020-11-01T00:00:00,70-79,9
899,2020-11-01T00:00:00,80+,25
900,2020-11-02T00:00:00,30-39,2
901,2020-11-02T00:00:00,40-49,1
902,2020-11-02T00:00:00,50-59,4
903,2020-11-02T00:00:00,60-69,6
904,2020-11-02T00:00:00,70-79,9
905,2020-11-02T00:00:00,80+,21
906,2020-11-03T00:00:00,50-59,3
907,2020-11-03T00:00:00,60-69,8
908,2020-11-03T00:00:00,70-79,5
909,2020-11-03T00:00:00,80+,26
910,2020-11-04T00:00:00,50-59,1
911,2020-11-04T00:00:00,60-69,7
912,2020-11-04T00:00:00,70-79,6
913,2020-11-04T00:00:00,80+,38
914,2020-11-05T00:00:00,60-69,2
915,2020-11-05T00:00:00,70-79,14
916,2020-11-05T00:00:00,80+,24
917,2020-11-06T00:00:00,40-49,1
918,2020-11-06T00:00:00,50-59,6
919,2020-11-06T00:00:00,60-69,8
920,2020-11-06T00:00:00,70-79,18
921,2020-11-06T00:00:00,80+,24
922,2020-11-07T00:00:00,50-59,4
923,2020-11-07T00:00:00,60-69,9
924,2020-11-07T00:00:00,70-79,9
925,2020-11-07T00:00:00,80+,27
926,2020-11-08T00:00:00,50-59,3
927,2020-11-08T00:00:00,60-69,13
928,2020-11-08T00:00:00,70-79,14
929,2020-11-08T00:00:00,80+,31
930,2020-11-09T00:00:00,40-49,1
931,2020-11-09T00:00:00,50-59,3
932,2020-11-09T00:00:00,60-69,5
933,2020-11-09T00:00:00,70-79,9
934,2020-11-09T00:00:00,80+,26
935,2020-11-10T00:00:00,40-49,1
936,2020-11-10T00:00:00,60-69,7
937,2020-11-10T00:00:00,70-79,19
938,2020-11-10T00:00:00,80+,34
939,2020-11-11T00:00:00,40-49,1
940,2020-11-11T00:00:00,50-59,2
941,2020-11-11T00:00:00,60-69,7
942,2020-11-11T00:00:00,70-79,16
943,2020-11-11T00:00:00,80+,33
944,2020-11-12T00:00:00,50-59,1
945,2020-11-12T00:00:00,60-69,5
946,2020-11-12T00:00:00,70-79,11
947,2020-11-12T00:00:00,80+,24
948,2020-11-13T00:00:00,40-49,2
949,2020-11-13T00:00:00,50-59,3
950,2020-11-13T00:00:00,60-69,6
951,2020-11-13T00:00:00,70-79,11
952,2020-11-13T00:00:00,80+,24
953,2020-11-14T00:00:00,40-49,2
954,2020-11-14T00:00:00,50-59,4
955,2020-11-14T00:00:00,60-69,3
956,2020-11-14T00:00:00,70-79,11
957,2020-11-14T00:00:00,80+,32
958,2020-11-15T00:00:00,40-49,1
959,2020-11-15T00:00:00,50-59,4
960,2020-11-15T00:00:00,60-69,13
961,2020-11-15T00:00:00,70-79,20
962,2020-11-15T00:00:00,80+,32
963,2020-11-16T00:00:00,30-39,2
964,2020-11-16T00:00:00,40-49,1
965,2020-11-16T00:00:00,50-59,1
966,2020-11-16T00:00:00,60-69,8
967,2020-11-16T00:00:00,70-79,12
968,2020-11-16T00:00:00,80+,38
969,2020-11-17T00:00:00,20-29,1
970,2020-11-17T00:00:00,50-59,3
971,2020-11-17T00:00:00,60-69,7
972,2020-11-17T00:00:00,70-79,20
973,2020-11-17T00:00:00,80+,52
974,2020-11-18T00:00:00,40-49,3
975,2020-11-18T00:00:00,50-59,4
976,2020-11-18T00:00:00,60-69,9
977,2020-11-18T00:00:00,70-79,21
978,2020-11-18T00:00:00,80+,37
979,2020-11-19T00:00:00,30-39,2
980,2020-11-19T00:00:00,40-49,2
981,2020-11-19T00:00:00,50-59,5
982,2020-11-19T00:00:00,60-69,12
983,2020-11-19T00:00:00,70-79,12
984,2020-11-19T00:00:00,80+,45
985,2020-11-20T00:00:00,40-49,1
986,2020-11-20T00:00:00,50-59,2
987,2020-11-20T00:00:00,60-69,11
988,2020-11-20T00:00:00,70-79,16
989,2020-11-20T00:00:00,80+,42
990,2020-11-21T00:00:00,40-49,1
991,2020-11-21T00:00:00,60-69,10
992,2020-11-21T00:00:00,70-79,16
993,2020-11-21T00:00:00,80+,42
994,2020-11-22T00:00:00,30-39,1
995,2020-11-22T00:00:00,50-59,3
996,2020-11-22T00:00:00,60-69,8
997,2020-11-22T00:00:00,70-79,20
998,2020-11-22T00:00:00,80+,46
999,2020-11-23T00:00:00,60-69,15
1000,2020-11-23T00:00:00,70-79,27
1001,2020-11-23T00:00:00,80+,46
1002,2020-11-24T00:00:00,50-59,1
1003,2020-11-24T00:00:00,60-69,12
1004,2020-11-24T00:00:00,70-79,21
1005,2020-11-24T00:00:00,80+,48
1006,2020-11-25T00:00:00,30-39,1
1007,2020-11-25T00:00:00,40-49,2
1008,2020-11-25T00:00:00,50-59,2
1009,2020-11-25T00:00:00,60-69,9
1010,2020-11-25T00:00:00,70-79,21
1011,2020-11-25T00:00:00,80+,49
1012,2020-11-26T00:00:00,40-49,4
1013,2020-11-26T00:00:00,50-59,4
1014,2020-11-26T00:00:00,60-69,10
1015,2020-11-26T00:00:00,70-79,18
1016,2020-11-26T00:00:00,80+,59
1017,2020-11-27T00:00:00,50-59,5
1018,2020-11-27T00:00:00,60-69,11
1019,2020-11-27T00:00:00,70-79,34
1020,2020-11-27T00:00:00,80+,36
1021,2020-11-28T00:00:00,30-39,2
1022,2020-11-28T00:00:00,40-49,2
1023,2020-11-28T00:00:00,50-59,4
1024,2020-11-28T00:00:00,60-69,15
1025,2020-11-28T00:00:00,70-79,16
1026,2020-11-28T00:00:00,80+,34
1027,2020-11-29T00:00:00,40-49,1
1028,2020-11-29T00:00:00,50-59,2
1029,2020-11-29T00:00:00,60-69,10
1030,2020-11-29T00:00:00,70-79,22
1031,2020-11-29T00:00:00,80+,46
1032,2020-11-30T00:00:00,50-59,2
1033,2020-11-30T00:00:00,60-69,8
1034,2020-11-30T00:00:00,70-79,25
1035,2020-11-30T00:00:00,80+,49
1036,2020-12-01T00:00:00,40-49,2
1037,2020-12-01T00:00:00,50-59,2
1038,2020-12-01T00:00:00,60-69,8
1039,2020-12-01T00:00:00,70-79,25
1040,2020-12-01T00:00:00,80+,50
1041,2020-12-02T00:00:00,40-49,2
1042,2020-12-02T00:00:00,50-59,5
1043,2020-12-02T00:00:00,60-69,9
1044,2020-12-02T00:00:00,70-79,23
1045,2020-12-02T00:00:00,80+,61
1046,2020-12-03T00:00:00,40-49,1
1047,2020-12-03T00:00:00,50-59,2
1048,2020-12-03T00:00:00,60-69,11
1049,2020-12-03T00:00:00,70-79,26
1050,2020-12-03T00:00:00,80+,50
1051,2020-12-04T00:00:00,30-39,1
1052,2020-12-04T00:00:00,40-49,4
1053,2020-12-04T00:00:00,50-59,4
1054,2020-12-04T00:00:00,60-69,13
1055,2020-12-04T00:00:00,70-79,24
1056,2020-12-04T00:00:00,80+,53
1057,2020-12-05T00:00:00,40-49,1
1058,2020-12-05T00:00:00,50-59,3
1059,2020-12-05T00:00:00,60-69,14
1060,2020-12-05T00:00:00,70-79,22
1061,2020-12-05T00:00:00,80+,57
1062,2020-12-06T00:00:00,50-59,7
1063,2020-12-06T00:00:00,60-69,14
1064,2020-12-06T00:00:00,70-79,21
1065,2020-12-06T00:00:00,80+,48
1066,2020-12-07T00:00:00,30-39,1
1067,2020-12-07T00:00:00,40-49,2
1068,2020-12-07T00:00:00,50-59,6
1069,2020-12-07T00:00:00,60-69,17
1070,2020-12-07T00:00:00,70-79,23
1071,2020-12-07T00:00:00,80+,46
1072,2020-12-08T00:00:00,40-49,1
1073,2020-12-08T00:00:00,50-59,4
1074,2020-12-08T00:00:00,60-69,19
1075,2020-12-08T00:00:00,70-79,19
1076,2020-12-08T00:00:00,80+,68
1077,2020-12-09T00:00:00,50-59,6
1078,2020-12-09T00:00:00,60-69,19
1079,2020-12-09T00:00:00,70-79,26
1080,2020-12-09T00:00:00,80+,54
1081,2020-12-10T00:00:00,40-49,3
1082,2020-12-10T00:00:00,50-59,7
1083,2020-12-10T00:00:00,60-69,17
1084,2020-12-10T00:00:00,70-79,32
1085,2020-12-10T00:00:00,80+,49
1086,2020-12-11T00:00:00,20-29,1
1087,2020-12-11T00:00:00,30-39,1
1088,2020-12-11T00:00:00,40-49,2
1089,2020-12-11T00:00:00,50-59,6
1090,2020-12-11T00:00:00,60-69,9
1091,2020-12-11T00:00:00,70-79,36
1092,2020-12-11T00:00:00,80+,55
1093,2020-12-12T00:00:00,50-59,1
1094,2020-12-12T00:00:00,60-69,11
1095,2020-12-12T00:00:00,70-79,30
1096,2020-12-12T00:00:00,80+,55
1097,2020-12-13T00:00:00,30-39,1
1098,2020-12-13T00:00:00,40-49,2
1099,2020-12-13T00:00:00,50-59,3
1100,2020-12-13T00:00:00,60-69,11
1101,2020-12-13T00:00:00,70-79,22
1102,2020-12-13T00:00:00,80+,48
1103,2020-12-14T00:00:00,40-49,1
1104,2020-12-14T00:00:00,50-59,4
1105,2020-12-14T00:00:00,60-69,9
1106,2020-12-14T00:00:00,70-79,29
1107,2020-12-14T00:00:00,80+,64
1108,2020-12-15T00:00:00,40-49,1
1109,2020-12-15T00:00:00,50-59,3
1110,2020-12-15T00:00:00,60-69,18
1111,2020-12-15T00:00:00,70-79,27
1112,2020-12-15T00:00:00,80+,46
1113,2020-12-16T00:00:00,0-19,1
1114,2020-12-16T00:00:00,30-39,2
1115,2020-12-16T00:00:00,40-49,1
1116,2020-12-16T00:00:00,50-59,5
1117,2020-12-16T00:00:00,60-69,10
1118,2020-12-16T00:00:00,70-79,18
1119,2020-12-16T00:00:00,80+,57
1120,2020-12-17T00:00:00,40-49,2
1121,2020-12-17T00:00:00,50-59,9
1122,2020-12-17T00:00:00,60-69,12
1123,2020-12-17T00:00:00,70-79,21
1124,2020-12-17T00:00:00,80+,71
1125,2020-12-18T00:00:00,50-59,4
1126,2020-12-18T00:00:00,60-69,15
1127,2020-12-18T00:00:00,70-79,28
1128,2020-12-18T00:00:00,80+,63
1129,2020-12-19T00:00:00,20-29,1
1130,2020-12-19T00:00:00,50-59,5
1131,2020-12-19T00:00:00,60-69,15
1132,2020-12-19T00:00:00,70-79,25
1133,2020-12-19T00:00:00,80+,50
1134,2020-12-20T00:00:00,40-49,1
1135,2020-12-20T00:00:00,50-59,4
1136,2020-12-20T00:00:00,60-69,10
1137,2020-12-20T00:00:00,70-79,24
1138,2020-12-20T00:00:00,80+,49
1139,2020-12-21T00:00:00,40-49,1
1140,2020-12-21T00:00:00,50-59,2
1141,2020-12-21T00:00:00,60-69,17
1142,2020-12-21T00:00:00,70-79,28
1143,2020-12-21T00:00:00,80+,59
1144,2020-12-22T00:00:00,0-19,1
1145,2020-12-22T00:00:00,40-49,1
1146,2020-12-22T00:00:00,50-59,2
1147,2020-12-22T00:00:00,60-69,9
1148,2020-12-22T00:00:00,70-79,26
1149,2020-12-22T00:00:00,80+,45
1150,2020-12-23T00:00:00,20-29,1
1151,2020-12-23T00:00:00,40-49,4
1152,2020-12-23T00:00:00,50-59,3
1153,2020-12-23T00:00:00,60-69,10
1154,2020-12-23T00:00:00,70-79,28
1155,2020-12-23T00:00:00,80+,48
1156,2020-12-24T00:00:00,40-49,1
1157,2020-12-24T00:00:00,50-59,6
1158,2020-12-24T00:00:00,60-69,9
1159,2020-12-24T00:00:00,70-79,22
1160,2020-12-24T00:00:00,80+,41
1161,2020-12-25T00:00:00,20-29,2
1162,2020-12-25T00:00:00,30-39,3
1163,2020-12-25T00:00:00,50-59,6
1164,2020-12-25T00:00:00,60-69,12
1165,2020-12-25T00:00:00,70-79,16
1166,2020-12-25T00:00:00,80+,52
1167,2020-12-26T00:00:00,50-59,5
1168,2020-12-26T00:00:00,60-69,16
1169,2020-12-26T00:00:00,70-79,24
1170,2020-12-26T00:00:00,80+,50
1171,2020-12-27T00:00:00,40-49,2
1172,2020-12-27T00:00:00,50-59,3
1173,2020-12-27T00:00:00,60-69,12
1174,2020-12-27T00:00:00,70-79,27
1175,2020-12-27T00:00:00,80+,51
1176,2020-12-28T00:00:00,40-49,2
1177,2020-12-28T00:00:00,50-59,7
1178,2020-12-28T00:00:00,60-69,12
1179,2020-12-28T00:00:00,70-79,31
1180,2020-12-28T00:00:00,80+,53
1181,2020-12-29T00:00:00,40-49,3
1182,2020-12-29T00:00:00,50-59,11
1183,2020-12-29T00:00:00,60-69,17
1184,2020-12-29T00:00:00,70-79,29
1185,2020-12-29T00:00:00,80+,65
1186,2020-12-30T00:00:00,30-39,1
1187,2020-12-30T00:00:00,40-49,1
1188,2020-12-30T00:00:00,50-59,5
1189,2020-12-30T00:00:00,60-69,12
1190,2020-12-30T00:00:00,70-79,28
1191,2020-12-30T00:00:00,80+,56
1192,2020-12-31T00:00:00,30-39,1
1193,2020-12-31T00:00:00,40-49,1
1194,2020-12-31T00:00:00,50-59,4
1195,2020-12-31T00:00:00,60-69,11
1196,2020-12-31T00:00:00,70-79,18
1197,2020-12-31T00:00:00,80+,44
1198,2021-01-01T00:00:00,40-49,3
1199,2021-01-01T00:00:00,50-59,2
1200,2021-01-01T00:00:00,60-69,13
1201,2021-01-01T00:00:00,70-79,27
1202,2021-01-01T00:00:00,80+,41
1203,2021-01-02T00:00:00,50-59,2
1204,2021-01-02T00:00:00,60-69,14
1205,2021-01-02T00:00:00,70-79,27
1206,2021-01-02T00:00:00,80+,56
1207,2021-01-03T00:00:00,50-59,8
1208,2021-01-03T00:00:00,60-69,13
1209,2021-01-03T00:00:00,70-79,18
1210,2021-01-03T00:00:00,80+,35
1211,2021-01-04T00:00:00,30-39,2
1212,2021-01-04T00:00:00,40-49,1
1213,2021-01-04T00:00:00,50-59,2
1214,2021-01-04T00:00:00,60-69,21
1215,2021-01-04T00:00:00,70-79,32
1216,2021-01-04T00:00:00,80+,60
1217,2021-01-05T00:00:00,50-59,2
1218,2021-01-05T00:00:00,60-69,15
1219,2021-01-05T00:00:00,70-79,19
1220,2021-01-05T00:00:00,80+,36
1221,2021-01-06T00:00:00,0-19,1
1222,2021-01-06T00:00:00,20-29,1
1223,2021-01-06T00:00:00,40-49,1
1224,2021-01-06T00:00:00,50-59,6
1225,2021-01-06T00:00:00,60-69,12
1226,2021-01-06T00:00:00,70-79,30
1227,2021-01-06T00:00:00,80+,39
1228,2021-01-07T00:00:00,30-39,1
1229,2021-01-07T00:00:00,40-49,1
1230,2021-01-07T00:00:00,50-59,2
1231,2021-01-07T00:00:00,60-69,12
1232,2021-01-07T00:00:00,70-79,26
1233,2021-01-07T00:00:00,80+,40
1234,2021-01-08T00:00:00,20-29,1
1235,2021-01-08T00:00:00,50-59,3
1236,2021-01-08T00:00:00,60-69,12
1237,2021-01-08T00:00:00,70-79,14
1238,2021-01-08T00:00:00,80+,38
1239,2021-01-09T00:00:00,0-19,1
1240,2021-01-09T00:00:00,40-49,3
1241,2021-01-09T00:00:00,50-59,6
1242,2021-01-09T00:00:00,60-69,6
1243,2021-01-09T00:00:00,70-79,19
1244,2021-01-09T00:00:00,80+,43
1245,2021-01-10T00:00:00,20-29,1
1246,2021-01-10T00:00:00,50-59,4
1247,2021-01-10T00:00:00,60-69,5
1248,2021-01-10T00:00:00,70-79,19
1249,2021-01-10T00:00:00,80+,33
1250,2021-01-11T00:00:00,30-39,1
1251,2021-01-11T00:00:00,40-49,2
1252,2021-01-11T00:00:00,50-59,6
1253,2021-01-11T00:00:00,60-69,15
1254,2021-01-11T00:00:00,70-79,15
1255,2021-01-11T00:00:00,80+,38
1256,2021-01-12T00:00:00,50-59,4
1257,2021-01-12T00:00:00,60-69,10
1258,2021-01-12T00:00:00,70-79,17
1259,2021-01-12T00:00:00,80+,34
1260,2021-01-13T00:00:00,40-49,3
1261,2021-01-13T00:00:00,50-59,4
1262,2021-01-13T00:00:00,60-69,16
1263,2021-01-13T00:00:00,70-79,17
1264,2021-01-13T00:00:00,80+,33
1265,2021-01-14T00:00:00,40-49,1
1266,2021-01-14T00:00:00,50-59,4
1267,2021-01-14T00:00:00,60-69,9
1268,2021-01-14T00:00:00,70-79,27
1269,2021-01-14T00:00:00,80+,34
1270,2021-01-15T00:00:00,40-49,1
1271,2021-01-15T00:00:00,50-59,6
1272,2021-01-15T00:00:00,60-69,10
1273,2021-01-15T00:00:00,70-79,20
1274,2021-01-15T00:00:00,80+,33
1275,2021-01-16T00:00:00,50-59,8
1276,2021-01-16T00:00:00,60-69,6
1277,2021-01-16T00:00:00,70-79,18
1278,2021-01-16T00:00:00,80+,45
1279,2021-01-17T00:00:00,40-49,1
1280,2021-01-17T00:00:00,50-59,3
1281,2021-01-17T00:00:00,60-69,11
1282,2021-01-17T00:00:00,70-79,22
1283,2021-01-17T00:00:00,80+,36
1284,2021-01-18T00:00:00,50-59,3
1285,2021-01-18T00:00:00,60-69,9
1286,2021-01-18T00:00:00,70-79,15
1287,2021-01-18T00:00:00,80+,47
1288,2021-01-19T00:00:00,40-49,2
1289,2021-01-19T00:00:00,60-69,11
1290,2021-01-19T00:00:00,70-79,13
1291,2021-01-19T00:00:00,80+,27
1292,2021-01-20T00:00:00,30-39,1
1293,2021-01-20T00:00:00,40-49,2
1294,2021-01-20T00:00:00,50-59,5
1295,2021-01-20T00:00:00,60-69,11
1296,2021-01-20T00:00:00,70-79,19
1297,2021-01-20T00:00:00,80+,33
1298,2021-01-21T00:00:00,30-39,1
1299,2021-01-21T00:00:00,40-49,1
1300,2021-01-21T00:00:00,50-59,5
1301,2021-01-21T00:00:00,60-69,5
1302,2021-01-21T00:00:00,70-79,18
1303,2021-01-21T00:00:00,80+,29
1304,2021-01-22T00:00:00,50-59,4
1305,2021-01-22T00:00:00,60-69,11
1306,2021-01-22T00:00:00,70-79,23
1307,2021-01-22T00:00:00,80+,35
1308,2021-01-23T00:00:00,50-59,5
1309,2021-01-23T00:00:00,60-69,10
1310,2021-01-23T00:00:00,70-79,12
1311,2021-01-23T00:00:00,80+,27
1312,2021-01-24T00:00:00,50-59,5
1313,2021-01-24T00:00:00,60-69,8
1314,2021-01-24T00:00:00,70-79,13
1315,2021-01-24T00:00:00,80+,30
1316,2021-01-25T00:00:00,40-49,1
1317,2021-01-25T00:00:00,50-59,1
1318,2021-01-25T00:00:00,60-69,11
1319,2021-01-25T00:00:00,70-79,15
1320,2021-01-25T00:00:00,80+,24
1321,2021-01-26T00:00:00,0-19,1
1322,2021-01-26T00:00:00,50-59,8
1323,2021-01-26T00:00:00,60-69,7
1324,2021-01-26T00:00:00,70-79,12
1325,2021-01-26T00:00:00,80+,28
1326,2021-01-27T00:00:00,40-49,1
1327,2021-01-27T00:00:00,50-59,3
1328,2021-01-27T00:00:00,60-69,9
