_id,date,agegrp,covid_deaths
154,2020-04-24T00:00:00,40-49,1
155,2020-04-24T00:00:00,50-59,2
156,2020-04-24T00:00:00,60-69,2
157,2020-04-24T00:00:00,70-79,12
158,2020-04-24T00:00:00,80+,18
159,2020-04-25T00:00:00,50-59,3
160,2020-04-25T00:00:00,60-69,10
161,2020-04-25T00:00:00,70-79,11
162,2020-04-25T00:00:00,80+,18
163,2020-04-26T00:00:00,50-59,1
164,2020-04-26T00:00:00,60-69,5
165,2020-04-26T00:00:00,70-79,11
166,2020-04-26T00:00:00,80+,18
167,2020-04-27T00:00:00,0-19,1
168,2020-04-27T00:00:00,30-39,1
169,2020-04-27T00:00:00,40-49,1
170,2020-04-27T00:00:00,50-59,3
171,2020-04-27T00:00:00,60-69,4
172,2020-04-27T00:00:00,70-79,11
173,2020-04-27T00:00:00,80+,23
174,2020-04-28T00:00:00,30-39,1
175,2020-04-28T00:00:00,40-49,1
176,2020-04-28T00:00:00,50-59,1
177,2020-04-28T00:00:00,60-69,2
178,2020-04-28T00:00:00,70-79,6
179,2020-04-28T00:00:00,80+,25
180,2020-04-29T00:00:00,50-59,5
181,2020-04-29T00:00:00,60-69,7
182,2020-04-29T00:00:00,70-79,11
183,2020-04-29T00:00:00,80+,21
184,2020-04-30T00:00:00,60-69,7
185,2020-04-30T00:00:00,70-79,8
186,2020-04-30T00:00:00,80+,30
187,2020-05-01T00:00:00,50-59,3
188,2020-05-01T00:00:00,60-69,6
189,2020-05-01T00:00:00,70-79,5
190,2020-05-01T00:00:00,80+,23
191,2020-05-02T00:00:00,40-49,3
192,2020-05-02T00:00:00,50-59,1
193,2020-05-02T00:00:00,60-69,3
194,2020-05-02T00:00:00,70-79,9
195,2020-05-02T00:00:00,80+,28
196,2020-05-03T00:00:00,60-69,4
197,2020-05-03T00:00:00,70-79,8
198,2020-05-03T00:00:00,80+,25
199,2020-05-04T00:00:00,40-49,2
200,2020-05-04T00:00:00,50-59,2
201,2020-05-04T00:00:00,60-69,6
202,2020-05-04T00:00:00,70-79,13
203,2020-05-04T00:00:00,80+,17
204,2020-05-05T00:00:00,30-39,1
205,2020-05-05T00:00:00,50-59,2
206,2020-05-05T00:00:00,60-69,4
207,2020-05-05T00:00:00,70-79,7
208,2020-05-05T00:00:00,80+,23
209,2020-05-06T00:00:00,20-29,1
210,2020-05-06T00:00:00,30-39,1
211,2020-05-06T00:00:00,40-49,1
212,2020-05-06T00:00:00,50-59,3
213,2020-05-06T00:00:00,60-69,7
214,2020-05-06T00:00:00,70-79,11
215,2020-05-06T00:00:00,80+,18
216,2020-05-07T00:00:00,50-59,3
217,2020-05-07T00:00:00,60-69,5
218,2020-05-07T00:00:00,70-79,10
219,2020-05-07T00:00:00,80+,19
220,2020-05-08T00:00:00,40-49,1
221,2020-05-08T00:00:00,50-59,2
222,2020-05-08T00:00:00,60-69,8
223,2020-05-08T00:00:00,70-79,1
224,2020-05-08T00:00:00,80+,16
225,2020-05-09T00:00:00,60-69,5
226,2020-05-09T00:00:00,70-79,9
227,2020-05-09T00:00:00,80+,20
228,2020-05-10T00:00:00,50-59,2
229,2020-05-10T00:00:00,60-69,3
230,2020-05-10T00:00:00,70-79,6
231,2020-05-10T00:00:00,80+,22
232,2020-05-11T00:00:00,40-49,2
233,2020-05-11T00:00:00,50-59,3
234,2020-05-11T00:00:00,60-69,5
235,2020-05-11T00:00:00,70-79,10
236,2020-05-11T00:00:00,80+,21
237,2020-05-12T00:00:00,0-19,1
238,2020-05-12T00:00:00,40-49,1
239,2020-05-12T00:00:00,50-59,2
240,2020-05-12T00:00:00,60-69,7
241,2020-05-12T00:00:00,70-79,4
242,2020-05-12T00:00:00,80+,24
243,2020-05-13T00:00:00,40-49,1
244,2020-05-13T00:00:00,50-59,2
245,2020-05-13T00:00:00,60-69,6
246,2020-05-13T00:00:00,70-79,5
247,2020-05-13T00:00:00,80+,13
248,2020-05-14T00:00:00,50-59,3
249,2020-05-14T00:00:00,60-69,5
250,2020-05-14T00:00:00,70-79,7
251,2020-05-14T00:00:00,80+,29
252,2020-05-15T00:00:00,40-49,1
253,2020-05-15T00:00:00,60-69,6
254,2020-05-15T00:00:00,70-79,5
255,2020-05-15T00:00:00,80+,21
256,2020-05-16T00:00:00,40-49,2
257,2020-05-16T00:00:00,60-69,5
258,2020-05-16T00:00:00,70-79,8
259,2020-05-16T00:00:00,80+,15
260,2020-05-17T00:00:00,20-29,1
261,2020-05-17T00:00:00,30-39,1
262,2020-05-17T00:00:00,50-59,1
263,2020-05-17T00:00:00,60-69,4
264,2020-05-17T00:00:00,70-79,6
265,2020-05-17T00:00:00,80+,17
266,2020-05-18T00:00:00,50-59,3
267,2020-05-18T00:00:00,60-69,5
268,2020-05-18T00:00:00,70-79,9
269,2020-05-18T00:00:00,80+,24
270,2020-05-19T00:00:00,40-49,1
271,2020-05-19T00:00:00,50-59,1
272,2020-05-19T00:00:00,60-69,5
273,2020-05-19T00:00:00,70-79,7
274,2020-05-19T00:00:00,80+,17
275,2020-05-20T00:00:00,40-49,2
276,2020-05-20T00:00:00,60-69,4
277,2020-05-20T00:00:00,70-79,5
278,2020-05-20T00:00:00,80+,22
279,2020-05-21T00:00:00,30-39,1
280,2020-05-21T00:00:00,50-59,1
281,2020-05-21T00:00:00,60-69,4
282,2020-05-21T00:00:00,70-79,12
283,2020-05-21T00:00:00,80+,21
284,2020-05-22T00:00:00,50-59,4
285,2020-05-22T00:00:00,60-69,3
286,2020-05-22T00:00:00,70-79,6
287,2020-05-22T00:00:00,80+,5
288,2020-05-23T00:00:00,50-59,3
289,2020-05-23T00:00:00,60-69,4
290,2020-05-23T00:00:00,70-79,4
291,2020-05-23T00:00:00,80+,14
292,2020-05-24T00:00:00,60-69,1
293,2020-05-24T00:00:00,70-79,8
294,2020-05-24T00:00:00,80+,6
295,2020-05-25T00:00:00,30-39,1
296,2020-05-25T00:00:00,60-69,3
297,2020-05-25T00:00:00,70-79,6
298,2020-05-25T00:00:00,80+,13
299,2020-05-26T00:00:00,50-59,1
300,2020-05-26T00:00:00,60-69,3
301,2020-05-26T00:00:00,70-79,6
302,2020-05-26T00:00:00,80+,11
303,2020-05-27T00:00:00,70-79,7
304,2020-05-27T00:00:00,80+,8
305,2020-05-28T00:00:00,50-59,2
306,2020-05-28T00:00:00,60-69,3
307,2020-05-28T00:00:00,70-79,3
308,2020-05-28T00:00:00,80+,11
309,2020-05-29T00:00:00,50-59,2
310,2020-05-29T00:00:00,60-69,5
311,2020-05-29T00:00:00,70-79,2
312,2020-05-29T00:00:00,80+,13
313,2020-05-30T00:00:00,40-49,1
314,2020-05-30T00:00:00,60-69,3
315,2020-05-30T00:00:00,70-79,7
