Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2021.0,Female,45-54 years,0.0,0.0,0.0
2021.0,Female,50-64 years,0.0,0.0,0.0
2021.0,Female,55-64 years,0.0,0.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,All Sexes,35-44 years,0.0,0.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Male,15-24 years,0.0,0.0,0.0
2021.0,Male,25-34 years,0.0,0.0,0.0
2021.0,Male,35-44 years,0.0,0.0,0.0
2021.0,Male,45-54 years,0.0,0.0,0.0
2021.0,Male,85 years and over,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,35-44 years,0.0,0.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,Male,15-24 years,0.0,0.0,0.0
2021.0,Male,35-44 years,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,25-34 years,0.0,0.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,All Sexes,35-44 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,0.0,0.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Male,35-44 years,0.0,0.0,0.0
2021.0,Male,45-54 years,0.0,0.0,0.0
2021.0,Male,75-84 years,0.0,0.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,45-54 years,0.0,0.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,15-24 years,0.0,0.0,0.0
2021.0,Male,35-44 years,0.0,0.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,50-64 years,27.0,18.0,0.0
2021.0,All Sexes,55-64 years,17.0,13.0,0.0
2021.0,All Sexes,65-74 years,25.0,12.0,0.0
2021.0,All Sexes,75-84 years,23.0,21.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,50-64 years,25.0,17.0,0.0
2021.0,Male,65-74 years,17.0,10.0,0.0
2021.0,Male,75-84 years,14.0,12.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,21.0,15.0,0.0
2021.0,All Sexes,50-64 years,52.0,35.0,0.0
2021.0,All Sexes,55-64 years,39.0,27.0,0.0
2021.0,All Sexes,65-74 years,52.0,38.0,0.0
2021.0,All Sexes,75-84 years,34.0,33.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,45-54 years,17.0,13.0,0.0
2021.0,Male,50-64 years,39.0,26.0,0.0
2021.0,Male,55-64 years,28.0,19.0,0.0
2021.0,Male,65-74 years,29.0,21.0,0.0
2021.0,Male,75-84 years,17.0,19.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,Female,65-74 years,23.0,17.0,0.0
2021.0,Female,75-84 years,17.0,14.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,15-24 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,26.0,14.0,0.0
2021.0,All Sexes,50-64 years,65.0,40.0,0.0
2021.0,All Sexes,55-64 years,48.0,31.0,0.0
2021.0,All Sexes,65-74 years,53.0,38.0,0.0
2021.0,All Sexes,75-84 years,48.0,33.0,0.0
2021.0,All Sexes,85 years and over,21.0,14.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Male,50-64 years,43.0,31.0,0.0
2021.0,Male,55-64 years,31.0,24.0,0.0
2021.0,Male,65-74 years,35.0,24.0,0.0
2021.0,Male,75-84 years,33.0,23.0,0.0
2021.0,Female,1-4 years,0.0,0.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,65-74 years,18.0,14.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,65-74 years,33.0,29.0,0.0
2021.0,All Sexes,75-84 years,22.0,16.0,0.0
2021.0,Male,1-4 years,0.0,0.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Male,65-74 years,18.0,16.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,65-74 years,15.0,13.0,0.0
2021.0,All Sexes,50-64 years,18.0,13.0,0.0
2021.0,All Sexes,65-74 years,17.0,17.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2022.0,All Sexes,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,5-14 years,0.0,0.0,0.0
2022.0,Male,1-4 years,0.0,0.0,0.0
2022.0,Male,5-14 years,0.0,0.0,0.0
2022.0,Male,25-34 years,0.0,0.0,0.0
2022.0,Female,1-4 years,0.0,0.0,0.0
2022.0,Female,5-14 years,0.0,0.0,0.0
2022.0,All Sexes,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,5-14 years,0.0,0.0,0.0
2022.0,All Sexes,15-24 years,0.0,0.0,0.0
2022.0,All Sexes,50-64 years,20.0,14.0,0.0
2022.0,All Sexes,55-64 years,18.0,12.0,0.0
2022.0,All Sexes,65-74 years,23.0,16.0,0.0
2022.0,All Sexes,75-84 years,16.0,14.0,0.0
2022.0,Male,1-4 years,0.0,0.0,0.0
2022.0,Male,5-14 years,0.0,0.0,0.0
2022.0,Female,1-4 years,0.0,0.0,0.0
2022.0,Female,5-14 years,0.0,0.0,0.0
2022.0,Male,35-44 years,0.0,0.0,0.0
2022.0,Male,45-54 years,0.0,0.0,0.0
2022.0,Female,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,45-54 years,0.0,0.0,0.0
2022.0,Female,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,5-14 years,0.0,0.0,0.0
2022.0,All Sexes,15-24 years,0.0,0.0,0.0
2022.0,All Sexes,35-44 years,0.0,0.0,0.0
2022.0,All Sexes,55-64 years,0.0,0.0,0.0
2022.0,All Sexes,65-74 years,0.0,0.0,0.0
2022.0,Male,1-4 years,0.0,0.0,0.0
2022.0,Male,5-14 years,0.0,0.0,0.0
2022.0,Male,15-24 years,0.0,0.0,0.0
2022.0,Male,35-44 years,0.0,0.0,0.0
2022.0,Male,55-64 years,0.0,0.0,0.0
2022.0,Male,65-74 years,0.0,0.0,0.0
2022.0,Female,1-4 years,0.0,0.0,0.0
2022.0,Female,5-14 years,0.0,0.0,0.0
2022.0,Female,15-24 years,0.0,0.0,0.0
2022.0,Female,35-44 years,0.0,0.0,0.0
2020.0,All Sexes,65-74 years,0.0,74.0,10.0
2020.0,Female,15-24 years,0.0,0.0,0.0
2020.0,All Sexes,50-64 years,0.0,47.0,14.0
2020.0,All Sexes,55-64 years,0.0,42.0,13.0
2020.0,All Sexes,65-74 years,0.0,72.0,15.0
2020.0,All Sexes,75-84 years,17.0,112.0,10.0
2020.0,Female,15-24 years,0.0,0.0,0.0
2020.0,All Sexes,1-4 years,0.0,0.0,0.0
2020.0,All Sexes,15-24 years,0.0,0.0,0.0
2020.0,Male,15-24 years,0.0,0.0,0.0
2020.0,Male,65-74 years,34.0,77.0,0.0
2020.0,Female,15-24 years,0.0,0.0,0.0
2020.0,Female,75-84 years,46.0,61.0,0.0
2020.0,Female,85 years and over,67.0,78.0,0.0
2020.0,All Sexes,45-54 years,36.0,30.0,0.0
2020.0,All Sexes,50-64 years,88.0,95.0,0.0
2020.0,All Sexes,55-64 years,64.0,75.0,0.0
2020.0,All Sexes,75-84 years,131.0,163.0,0.0
2020.0,All Sexes,85 years and over,157.0,155.0,0.0
2020.0,Male,45-54 years,25.0,22.0,0.0
2020.0,Male,50-64 years,60.0,62.0,0.0
2020.0,Male,55-64 years,40.0,47.0,0.0
2020.0,Male,65-74 years,54.0,70.0,0.0
2020.0,Male,75-84 years,77.0,77.0,0.0
2020.0,Male,85 years and over,64.0,65.0,0.0
2020.0,Female,50-64 years,28.0,33.0,0.0
2020.0,Female,55-64 years,24.0,28.0,0.0
2020.0,Female,75-84 years,54.0,86.0,0.0
2020.0,Female,85 years and over,93.0,90.0,0.0
2020.0,All Sexes,1-4 years,0.0,0.0,0.0
2020.0,All Sexes,35-44 years,36.0,19.0,0.0
2020.0,All Sexes,55-64 years,150.0,112.0,0.0
2020.0,All Sexes,65-74 years,183.0,172.0,0.0
2020.0,All Sexes,75-84 years,237.0,221.0,0.0
2020.0,Male,35-44 years,24.0,13.0,0.0
2020.0,Male,45-54 years,47.0,27.0,0.0
2020.0,Male,50-64 years,133.0,96.0,0.0
2020.0,Male,55-64 years,103.0,78.0,0.0
2020.0,Male,65-74 years,103.0,101.0,0.0
2020.0,Male,75-84 years,120.0,120.0,0.0
2020.0,Male,85 years and over,93.0,84.0,0.0
2020.0,Female,55-64 years,47.0,34.0,0.0
2020.0,Female,65-74 years,80.0,71.0,0.0
2020.0,Female,75-84 years,117.0,101.0,0.0
2020.0,All Sexes,1-4 years,0.0,0.0,0.0
2020.0,All Sexes,5-14 years,0.0,0.0,0.0
2020.0,All Sexes,25-34 years,37.0,23.0,0.0
2020.0,All Sexes,35-44 years,80.0,40.0,0.0
2020.0,All Sexes,55-64 years,337.0,248.0,0.0
2020.0,All Sexes,65-74 years,505.0,412.0,0.0
2020.0,All Sexes,75-84 years,545.0,439.0,0.0
2020.0,All Sexes,85 years and over,438.0,305.0,0.0
2020.0,Male,25-34 years,22.0,15.0,0.0
2020.0,Male,35-44 years,55.0,29.0,0.0
2020.0,Male,55-64 years,204.0,150.0,0.0
2020.0,Male,65-74 years,318.0,255.0,0.0
2020.0,Male,75-84 years,339.0,271.0,0.0
2020.0,Male,85 years and over,214.0,152.0,0.0
2020.0,Female,35-44 years,25.0,11.0,0.0
2020.0,Female,45-54 years,37.0,34.0,0.0
2020.0,Female,50-64 years,155.0,118.0,0.0
2020.0,Female,55-64 years,133.0,98.0,0.0
2020.0,Female,65-74 years,187.0,157.0,0.0
2020.0,Female,75-84 years,206.0,168.0,0.0
2020.0,Female,85 years and over,224.0,153.0,0.0
2020.0,All Sexes,35-44 years,30.0,23.0,0.0
2020.0,All Sexes,55-64 years,166.0,138.0,0.0
2020.0,All Sexes,65-74 years,244.0,223.0,0.0
2020.0,All Sexes,75-84 years,235.0,197.0,0.0
2020.0,All Sexes,85 years and over,173.0,127.0,0.0
2020.0,Male,1-4 years,0.0,0.0,0.0
2020.0,Male,35-44 years,18.0,15.0,0.0
2020.0,Male,45-54 years,45.0,30.0,0.0
2020.0,Male,50-64 years,133.0,111.0,0.0
2020.0,Male,55-64 years,110.0,93.0,0.0
2020.0,Male,65-74 years,146.0,136.0,0.0
2020.0,Male,75-84 years,126.0,112.0,0.0
2020.0,Male,85 years and over,71.0,58.0,0.0
2020.0,Female,55-64 years,56.0,45.0,0.0
2020.0,Female,65-74 years,98.0,87.0,0.0
2020.0,Female,75-84 years,109.0,85.0,0.0
2020.0,Female,85 years and over,102.0,69.0,0.0
2020.0,All Sexes,5-14 years,0.0,0.0,0.0
2020.0,All Sexes,45-54 years,22.0,23.0,0.0
2020.0,All Sexes,50-64 years,62.0,75.0,0.0
2020.0,All Sexes,55-64 years,47.0,62.0,0.0
2020.0,All Sexes,65-74 years,65.0,89.0,0.0
2020.0,All Sexes,75-84 years,71.0,105.0,0.0
2020.0,All Sexes,85 years and over,50.0,87.0,0.0
2020.0,Male,50-64 years,37.0,46.0,0.0
2020.0,Male,55-64 years,25.0,35.0,0.0
2020.0,Male,65-74 years,42.0,53.0,0.0
2020.0,Male,75-84 years,40.0,62.0,0.0
2020.0,Male,85 years and over,19.0,47.0,0.0
2020.0,Female,50-64 years,25.0,29.0,0.0
2020.0,Female,55-64 years,22.0,27.0,0.0
2020.0,Female,65-74 years,23.0,36.0,0.0
2020.0,Female,75-84 years,31.0,43.0,0.0
2020.0,Female,85 years and over,31.0,40.0,0.0
2020.0,All Sexes,5-14 years,0.0,0.0,0.0
2020.0,All Sexes,50-64 years,42.0,76.0,0.0
2020.0,All Sexes,55-64 years,35.0,65.0,0.0
2020.0,All Sexes,65-74 years,74.0,102.0,0.0
2020.0,All Sexes,75-84 years,67.0,105.0,0.0
2020.0,All Sexes,85 years and over,57.0,84.0,0.0
2020.0,Male,5-14 years,0.0,0.0,0.0
2020.0,Male,50-64 years,32.0,46.0,0.0
2020.0,Male,55-64 years,27.0,40.0,0.0
2020.0,Male,65-74 years,43.0,54.0,0.0
2020.0,Male,75-84 years,41.0,67.0,0.0
2020.0,Female,1-4 years,0.0,0.0,0.0
2020.0,Female,15-24 years,0.0,0.0,0.0
2020.0,Female,25-34 years,0.0,0.0,0.0
2020.0,Female,65-74 years,31.0,48.0,0.0
2020.0,Female,75-84 years,26.0,38.0,0.0
2020.0,Female,85 years and over,35.0,47.0,0.0
2020.0,All Sexes,5-14 years,0.0,0.0,0.0
2020.0,All Sexes,35-44 years,28.0,17.0,0.0
2020.0,All Sexes,45-54 years,38.0,37.0,0.0
2020.0,All Sexes,50-64 years,147.0,131.0,0.0
2020.0,All Sexes,55-64 years,126.0,111.0,0.0
2020.0,All Sexes,65-74 years,193.0,173.0,0.0
2020.0,All Sexes,75-84 years,256.0,224.0,0.0
2020.0,All Sexes,85 years and over,205.0,182.0,0.0
2020.0,Male,45-54 years,23.0,19.0,0.0
2020.0,Male,50-64 years,82.0,78.0,0.0
2020.0,Male,55-64 years,72.0,68.0,0.0
2020.0,Male,65-74 years,108.0,97.0,0.0
2020.0,Male,75-84 years,154.0,123.0,0.0
2020.0,Male,85 years and over,122.0,111.0,0.0
2020.0,Female,5-14 years,0.0,0.0,0.0
2020.0,Female,45-54 years,15.0,18.0,0.0
2020.0,Female,50-64 years,65.0,53.0,0.0
2020.0,Female,55-64 years,54.0,43.0,0.0
2020.0,Female,65-74 years,85.0,76.0,0.0
2020.0,Female,75-84 years,102.0,101.0,0.0
2020.0,Female,85 years and over,83.0,71.0,0.0
2020.0,All Sexes,25-34 years,22.0,21.0,0.0
2020.0,All Sexes,55-64 years,374.0,295.0,0.0
2020.0,All Sexes,65-74 years,699.0,555.0,0.0
2020.0,All Sexes,75-84 years,907.0,690.0,0.0
2020.0,All Sexes,85 years and over,783.0,579.0,0.0
2020.0,Male,25-34 years,14.0,13.0,0.0
2020.0,Male,45-54 years,108.0,88.0,0.0
2020.0,Male,50-64 years,327.0,259.0,0.0
2020.0,Male,55-64 years,253.0,199.0,0.0
2020.0,Male,65-74 years,445.0,343.0,0.0
2020.0,Male,75-84 years,572.0,440.0,0.0
2020.0,Male,85 years and over,416.0,319.0,0.0
2020.0,Female,15-24 years,0.0,0.0,0.0
2020.0,Female,35-44 years,27.0,19.0,0.0
2020.0,Female,55-64 years,121.0,96.0,0.0
2020.0,Female,65-74 years,254.0,212.0,0.0
2020.0,Female,75-84 years,335.0,250.0,0.0
2020.0,Female,85 years and over,367.0,260.0,0.0
2021.0,All Sexes,25-34 years,43.0,27.0,0.0
2021.0,All Sexes,45-54 years,264.0,186.0,0.0
2021.0,All Sexes,50-64 years,727.0,513.0,0.0
2021.0,All Sexes,55-64 years,572.0,407.0,0.0
2021.0,Male,25-34 years,23.0,15.0,0.0
2021.0,Male,45-54 years,164.0,106.0,0.0
2021.0,Male,50-64 years,436.0,296.0,0.0
2021.0,Male,55-64 years,337.0,237.0,0.0
2021.0,Female,25-34 years,20.0,12.0,0.0
2021.0,Female,35-44 years,23.0,20.0,0.0
2021.0,Female,45-54 years,100.0,80.0,0.0
2021.0,Female,50-64 years,291.0,217.0,0.0
2021.0,Female,55-64 years,235.0,170.0,0.0
2021.0,Female,65-74 years,374.0,275.0,0.0
2021.0,Female,75-84 years,474.0,312.0,0.0
2021.0,Female,85 years and over,441.0,273.0,0.0
2021.0,All Sexes,35-44 years,35.0,27.0,0.0
2021.0,All Sexes,45-54 years,91.0,77.0,0.0
2021.0,All Sexes,50-64 years,310.0,257.0,0.0
2021.0,All Sexes,55-64 years,256.0,209.0,0.0
2021.0,All Sexes,65-74 years,470.0,370.0,0.0
2021.0,All Sexes,75-84 years,483.0,373.0,0.0
2021.0,All Sexes,85 years and over,315.0,210.0,0.0
2021.0,Male,35-44 years,16.0,14.0,0.0
2021.0,Male,45-54 years,63.0,56.0,0.0
2021.0,Male,50-64 years,207.0,170.0,0.0
2021.0,Male,55-64 years,168.0,132.0,0.0
2021.0,Male,65-74 years,288.0,224.0,0.0
2021.0,Male,75-84 years,301.0,232.0,0.0
2021.0,Male,85 years and over,160.0,116.0,0.0
2021.0,Female,35-44 years,19.0,13.0,0.0
2021.0,Female,45-54 years,28.0,21.0,0.0
2021.0,Female,50-64 years,103.0,87.0,0.0
2021.0,Female,55-64 years,88.0,77.0,0.0
2021.0,Female,65-74 years,182.0,146.0,0.0
2021.0,Female,75-84 years,182.0,141.0,0.0
2021.0,Female,85 years and over,155.0,94.0,0.0
2021.0,All Sexes,45-54 years,30.0,25.0,0.0
2021.0,All Sexes,50-64 years,95.0,98.0,0.0
2021.0,All Sexes,55-64 years,76.0,84.0,0.0
2021.0,All Sexes,65-74 years,136.0,145.0,0.0
2021.0,All Sexes,75-84 years,133.0,167.0,0.0
2021.0,All Sexes,85 years and over,120.0,120.0,0.0
2021.0,Male,50-64 years,52.0,58.0,0.0
2021.0,Male,55-64 years,40.0,50.0,0.0
2021.0,Male,65-74 years,76.0,83.0,0.0
2021.0,Male,75-84 years,75.0,100.0,0.0
2021.0,Male,85 years and over,60.0,60.0,0.0
2021.0,Female,50-64 years,43.0,40.0,0.0
2021.0,Female,55-64 years,36.0,34.0,0.0
2021.0,Female,65-74 years,60.0,62.0,0.0
2021.0,Female,75-84 years,58.0,67.0,0.0
2021.0,Female,85 years and over,60.0,60.0,0.0
2021.0,All Sexes,45-54 years,24.0,22.0,0.0
2021.0,All Sexes,65-74 years,67.0,121.0,0.0
2021.0,All Sexes,75-84 years,52.0,104.0,0.0
2021.0,All Sexes,85 years and over,35.0,77.0,0.0
2021.0,Male,5-14 years,0.0,0.0,0.0
2021.0,Male,45-54 years,20.0,16.0,0.0
2021.0,Male,50-64 years,38.0,43.0,0.0
2021.0,Male,55-64 years,24.0,34.0,0.0
2021.0,Male,65-74 years,39.0,67.0,0.0
2021.0,Male,75-84 years,35.0,63.0,0.0
2021.0,Female,15-24 years,0.0,0.0,0.0
2021.0,Female,65-74 years,28.0,54.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,28.0,28.0,0.0
2021.0,All Sexes,50-64 years,60.0,89.0,0.0
2021.0,All Sexes,55-64 years,44.0,73.0,0.0
2021.0,All Sexes,65-74 years,63.0,99.0,0.0
2021.0,All Sexes,75-84 years,58.0,94.0,0.0
2021.0,All Sexes,85 years and over,31.0,84.0,0.0
2021.0,Male,45-54 years,20.0,22.0,0.0
2021.0,Male,50-64 years,32.0,50.0,0.0
2021.0,Male,55-64 years,23.0,39.0,0.0
2021.0,Male,65-74 years,39.0,52.0,0.0
2021.0,Male,75-84 years,37.0,50.0,0.0
2021.0,Female,5-14 years,0.0,0.0,0.0
2021.0,Female,50-64 years,28.0,39.0,0.0
2021.0,Female,55-64 years,21.0,34.0,0.0
2021.0,Female,65-74 years,24.0,47.0,0.0
2021.0,Female,75-84 years,21.0,44.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,21.0,27.0,0.0
2021.0,All Sexes,50-64 years,40.0,72.0,0.0
2021.0,All Sexes,55-64 years,26.0,54.0,0.0
2021.0,All Sexes,65-74 years,51.0,94.0,0.0
2021.0,All Sexes,75-84 years,44.0,89.0,0.0
2021.0,All Sexes,85 years and over,23.0,82.0,0.0
2021.0,Male,50-64 years,27.0,43.0,0.0
2021.0,Male,55-64 years,18.0,32.0,0.0
2021.0,Male,65-74 years,32.0,65.0,0.0
2021.0,Male,75-84 years,27.0,52.0,0.0
2021.0,Female,15-24 years,0.0,0.0,0.0
2021.0,All Sexes,45-54 years,31.0,26.0,0.0
2021.0,All Sexes,50-64 years,80.0,89.0,0.0
2021.0,All Sexes,55-64 years,67.0,78.0,0.0
2021.0,All Sexes,65-74 years,65.0,96.0,0.0
2021.0,All Sexes,75-84 years,56.0,92.0,0.0
2021.0,All Sexes,85 years and over,43.0,78.0,0.0
2021.0,Male,45-54 years,20.0,15.0,0.0
2021.0,Male,50-64 years,51.0,54.0,0.0
2021.0,Male,55-64 years,42.0,47.0,0.0
2021.0,Male,65-74 years,35.0,63.0,0.0
2021.0,Male,75-84 years,35.0,48.0,0.0
2021.0,Male,85 years and over,23.0,53.0,0.0
2021.0,Female,15-24 years,0.0,0.0,0.0
2021.0,Female,50-64 years,29.0,35.0,0.0
2021.0,Female,55-64 years,25.0,31.0,0.0
2021.0,Female,65-74 years,30.0,33.0,0.0
2021.0,Female,75-84 years,21.0,44.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,25-34 years,34.0,24.0,0.0
2021.0,All Sexes,35-44 years,63.0,47.0,0.0
2021.0,All Sexes,55-64 years,161.0,129.0,0.0
2021.0,All Sexes,65-74 years,187.0,186.0,0.0
2021.0,All Sexes,75-84 years,143.0,158.0,0.0
2021.0,All Sexes,85 years and over,76.0,109.0,0.0
2021.0,Male,35-44 years,42.0,30.0,0.0
2021.0,Male,55-64 years,95.0,66.0,0.0
2021.0,Male,65-74 years,105.0,110.0,0.0
2021.0,Male,75-84 years,91.0,98.0,0.0
2021.0,Male,85 years and over,42.0,62.0,0.0
2021.0,Female,25-34 years,15.0,14.0,0.0
2021.0,Female,35-44 years,21.0,17.0,0.0
2021.0,Female,45-54 years,48.0,40.0,0.0
2021.0,Female,50-64 years,93.0,85.0,0.0
2021.0,Female,55-64 years,66.0,63.0,0.0
2021.0,Female,65-74 years,82.0,76.0,0.0
2021.0,Female,75-84 years,52.0,60.0,0.0
2021.0,Female,85 years and over,34.0,47.0,0.0
2021.0,All Sexes,1-4 years,0.0,0.0,0.0
2021.0,All Sexes,5-14 years,0.0,0.0,0.0
2021.0,All Sexes,25-34 years,35.0,31.0,0.0
2021.0,All Sexes,35-44 years,97.0,66.0,0.0
2021.0,All Sexes,45-54 years,168.0,116.0,0.0
2021.0,All Sexes,50-64 years,321.0,243.0,0.0
2021.0,All Sexes,55-64 years,236.0,186.0,0.0
2021.0,All Sexes,65-74 years,301.0,259.0,0.0
2021.0,All Sexes,75-84 years,226.0,223.0,0.0
2021.0,Male,25-34 years,18.0,16.0,0.0
2021.0,Male,35-44 years,63.0,42.0,0.0
2021.0,Male,45-54 years,114.0,79.0,0.0
2021.0,Male,50-64 years,191.0,138.0,0.0
2021.0,Male,55-64 years,133.0,100.0,0.0
2021.0,Male,65-74 years,184.0,160.0,0.0
2021.0,Male,75-84 years,128.0,136.0,0.0
2021.0,Male,85 years and over,61.0,64.0,0.0
2021.0,Female,25-34 years,17.0,15.0,0.0
2021.0,Female,35-44 years,34.0,24.0,0.0
2021.0,Female,45-54 years,54.0,37.0,0.0
2021.0,Female,50-64 years,130.0,105.0,0.0
2021.0,Female,55-64 years,103.0,86.0,0.0
2021.0,Female,65-74 years,117.0,99.0,0.0
2021.0,Female,75-84 years,98.0,87.0,0.0
2021.0,All Sexes,25-34 years,30.0,16.0,0.0
2021.0,All Sexes,35-44 years,67.0,55.0,0.0
2021.0,All Sexes,45-54 years,142.0,106.0,0.0
2021.0,All Sexes,50-64 years,325.0,259.0,0.0
2021.0,All Sexes,55-64 years,234.0,195.0,0.0
2021.0,All Sexes,75-84 years,229.0,242.0,0.0
2021.0,All Sexes,85 years and over,136.0,144.0,0.0
2021.0,Male,25-34 years,19.0,11.0,0.0
2021.0,Male,35-44 years,38.0,29.0,0.0
2021.0,Male,45-54 years,95.0,69.0,0.0
2021.0,Male,50-64 years,211.0,168.0,0.0
2021.0,Male,55-64 years,152.0,126.0,0.0
2021.0,Male,75-84 years,127.0,135.0,0.0
2021.0,Male,85 years and over,65.0,76.0,0.0
2021.0,Female,35-44 years,29.0,26.0,0.0
2021.0,Female,45-54 years,47.0,37.0,0.0
2021.0,Female,50-64 years,114.0,91.0,0.0
2021.0,Female,55-64 years,82.0,69.0,0.0
2021.0,Female,65-74 years,118.0,101.0,0.0
2021.0,Female,75-84 years,102.0,107.0,0.0
2021.0,Female,85 years and over,71.0,68.0,0.0
2021.0,All Sexes,25-34 years,36.0,23.0,0.0
2021.0,All Sexes,35-44 years,79.0,54.0,0.0
2021.0,All Sexes,45-54 years,166.0,126.0,0.0
2021.0,All Sexes,50-64 years,375.0,318.0,0.0
2021.0,All Sexes,55-64 years,270.0,238.0,0.0
2021.0,All Sexes,65-74 years,432.0,343.0,0.0
2021.0,All Sexes,75-84 years,381.0,300.0,0.0
2021.0,All Sexes,85 years and over,240.0,203.0,0.0
2021.0,Male,25-34 years,27.0,17.0,0.0
2021.0,Male,35-44 years,44.0,30.0,0.0
2021.0,Male,45-54 years,109.0,83.0,0.0
2021.0,Male,50-64 years,241.0,195.0,0.0
2021.0,Male,55-64 years,172.0,141.0,0.0
2021.0,Male,65-74 years,249.0,201.0,0.0
2021.0,Male,75-84 years,237.0,185.0,0.0
2021.0,Male,85 years and over,121.0,111.0,0.0
2021.0,Female,35-44 years,35.0,24.0,0.0
2021.0,Female,45-54 years,57.0,43.0,0.0
2021.0,Female,50-64 years,134.0,123.0,0.0
2021.0,Female,55-64 years,98.0,97.0,0.0
2021.0,Female,65-74 years,183.0,142.0,0.0
2021.0,Female,75-84 years,144.0,115.0,0.0
2021.0,Female,85 years and over,119.0,92.0,0.0
2021.0,All Sexes,25-34 years,53.0,36.0,0.0
2021.0,Male,25-34 years,33.0,20.0,0.0
2021.0,Male,50-64 years,338.0,236.0,0.0
2021.0,Male,55-64 years,258.0,184.0,0.0
2021.0,Male,75-84 years,296.0,253.0,0.0
2021.0,Female,25-34 years,20.0,16.0,0.0
2021.0,Female,45-54 years,73.0,63.0,0.0
2022.0,All Sexes,1-4 years,0.0,0.0,0.0
2022.0,All Sexes,5-14 years,0.0,0.0,0.0
2022.0,All Sexes,35-44 years,72.0,45.0,0.0
2022.0,Male,1-4 years,0.0,0.0,0.0
2022.0,Male,35-44 years,45.0,34.0,0.0
2022.0,Male,65-74 years,304.0,226.0,0.0
2022.0,Male,75-84 years,330.0,249.0,0.0
2022.0,Female,85 years and over,151.0,111.0,0.0
2022.0,All Sexes,35-44 years,28.0,24.0,0.0
2022.0,All Sexes,65-74 years,348.0,282.0,0.0
2022.0,All Sexes,85 years and over,284.0,211.0,0.0
2022.0,Male,45-54 years,36.0,30.0,0.0
2022.0,Male,50-64 years,131.0,95.0,0.0
2022.0,Male,55-64 years,117.0,81.0,0.0
2022.0,Male,65-74 years,216.0,165.0,0.0
2022.0,Male,75-84 years,263.0,189.0,0.0
2022.0,Male,85 years and over,155.0,112.0,0.0
