Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,Female,35-44 years,1032.0,926.0,22.0
2020.0,Female,45-54 years,2307.0,2138.0,39.0
2020.0,Female,50-64 years,6636.0,6551.0,87.0
2020.0,Female,55-64 years,5284.0,5296.0,67.0
2020.0,Female,65-74 years,7996.0,8344.0,81.0
2020.0,Female,75-84 years,9603.0,10402.0,104.0
2020.0,Female,85 years and over,12446.0,12859.0,98.0
2020.0,All Sexes,35-44 years,346.0,316.0,11.0
2020.0,All Sexes,45-54 years,888.0,748.0,21.0
2020.0,All Sexes,50-64 years,2381.0,2101.0,50.0
2020.0,All Sexes,55-64 years,1864.0,1654.0,36.0
2020.0,All Sexes,65-74 years,2985.0,2832.0,39.0
2020.0,All Sexes,75-84 years,3435.0,3151.0,28.0
2020.0,All Sexes,85 years and over,3627.0,2875.0,57.0
2020.0,Male,45-54 years,603.0,487.0,12.0
2020.0,Male,50-64 years,1594.0,1346.0,28.0
2020.0,Male,55-64 years,1241.0,1053.0,20.0
2020.0,Male,65-74 years,1816.0,1752.0,19.0
2020.0,Male,75-84 years,1983.0,1875.0,10.0
2020.0,Male,85 years and over,1638.0,1420.0,18.0
2020.0,Female,50-64 years,787.0,755.0,22.0
2020.0,Female,55-64 years,623.0,601.0,16.0
2020.0,Female,65-74 years,1169.0,1080.0,20.0
2020.0,Female,75-84 years,1452.0,1276.0,18.0
2020.0,Female,85 years and over,1989.0,1455.0,39.0
2020.0,All Sexes,35-44 years,156.0,100.0,0.0
2020.0,All Sexes,50-64 years,1461.0,1021.0,20.0
2020.0,All Sexes,55-64 years,1192.0,839.0,14.0
2020.0,All Sexes,65-74 years,2001.0,1447.0,23.0
2020.0,All Sexes,75-84 years,2834.0,1945.0,32.0
2020.0,All Sexes,85 years and over,4327.0,2657.0,33.0
2020.0,Male,35-44 years,105.0,66.0,0.0
2020.0,Male,50-64 years,939.0,617.0,10.0
2020.0,Male,65-74 years,1206.0,853.0,16.0
2020.0,Male,75-84 years,1503.0,1048.0,13.0
2020.0,Male,85 years and over,1715.0,1246.0,14.0
2020.0,Female,35-44 years,51.0,34.0,0.0
2020.0,Female,50-64 years,522.0,404.0,10.0
2020.0,Female,75-84 years,1331.0,897.0,19.0
2020.0,Female,85 years and over,2612.0,1411.0,19.0
2020.0,All Sexes,85 years and over,825.0,594.0,10.0
2020.0,Male,35-44 years,30.0,27.0,0.0
2020.0,Male,45-54 years,91.0,74.0,0.0
2020.0,All Sexes,25-34 years,30.0,36.0,0.0
2020.0,All Sexes,75-84 years,408.0,519.0,0.0
2020.0,Male,25-34 years,17.0,22.0,0.0
2020.0,Male,75-84 years,229.0,285.0,0.0
2020.0,Female,25-34 years,13.0,14.0,0.0
2020.0,Female,35-44 years,26.0,31.0,0.0
2020.0,Female,45-54 years,65.0,76.0,0.0
2020.0,Female,50-64 years,206.0,235.0,0.0
2020.0,Female,55-64 years,164.0,189.0,0.0
2020.0,Female,75-84 years,179.0,234.0,0.0
2020.0,All Sexes,25-34 years,853.0,849.0,16.0
2020.0,All Sexes,35-44 years,2128.0,1933.0,24.0
2020.0,All Sexes,45-54 years,4829.0,4446.0,59.0
2020.0,All Sexes,50-64 years,13257.0,13221.0,130.0
2020.0,All Sexes,55-64 years,10366.0,10527.0,99.0
2020.0,All Sexes,65-74 years,15869.0,17101.0,142.0
2020.0,All Sexes,75-84 years,18846.0,20776.0,150.0
2020.0,All Sexes,85 years and over,17319.0,18697.0,135.0
2020.0,Male,35-44 years,1296.0,1134.0,11.0
2020.0,Male,45-54 years,3034.0,2703.0,38.0
2020.0,Male,50-64 years,8191.0,7956.0,79.0
2020.0,Male,55-64 years,6356.0,6305.0,57.0
2020.0,Male,65-74 years,9479.0,10235.0,76.0
2020.0,Male,75-84 years,10881.0,12096.0,78.0
2020.0,Male,85 years and over,8212.0,9322.0,55.0
2020.0,Female,35-44 years,832.0,799.0,13.0
